# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.01           3.731967e+02 6.532412e-03 1.323231e-02 3.731511e+02 6.500819e-03 1.524295e-02 4.555671e-02 3.159278e-05 -2.010635e-03
0.02           1.251111e+01 6.544321e-03 -1.488252e-01 1.248193e+01 6.519031e-03 -1.471717e-01 2.917939e-02 2.529045e-05 -1.653548e-03
0.03           1.917664e+00 -2.631779e-02 6.877200e-02 1.895282e+00 -2.633396e-02 7.043135e-02 2.238274e-02 1.616984e-05 -1.659353e-03
0.04           6.125513e-01 2.849714e-03 7.857022e-03 5.941761e-01 2.836999e-03 9.446469e-03 1.837522e-02 1.271435e-05 -1.589447e-03
0.05           2.608293e-01 5.514990e-03 3.275355e-02 2.445231e-01 5.506184e-03 3.435501e-02 1.630621e-02 8.805530e-06 -1.601461e-03
0.06           2.481235e-03 1.050146e-02 -8.502693e-03 -1.355532e-02 1.049875e-02 -6.933230e-03 1.603656e-02 2.706674e-06 -1.569463e-03
0.07           -2.188935e-01 -3.649856e-03 8.603491e-03 -2.354329e-01 -3.654925e-03 1.017405e-02 1.653932e-02 5.069043e-06 -1.570559e-03
0.08           -1.899375e-01 -2.950181e-03 -7.507585e-04 -2.069006e-01 -2.960290e-03 8.145315e-04 1.696304e-02 1.010908e-05 -1.565290e-03
0.09           -1.514907e-01 5.834363e-03 1.178243e-03 -1.684137e-01 5.825201e-03 2.733192e-03 1.692306e-02 9.161702e-06 -1.554949e-03
0.1            -8.288117e-02 9.028222e-04 9.451985e-04 -9.925435e-02 8.902453e-04 2.470408e-03 1.637318e-02 1.257688e-05 -1.525209e-03
0.11           9.852336e-03 1.187624e-03 7.803069e-03 -5.593308e-03 1.172429e-03 9.300437e-03 1.544564e-02 1.519455e-05 -1.497368e-03
0.12           8.460415e-02 -1.610413e-03 -2.760759e-03 7.024095e-02 -1.632758e-03 -1.297734e-03 1.436321e-02 2.234508e-05 -1.463025e-03
0.13           9.791666e-02 3.480701e-04 -2.360309e-04 8.456574e-02 3.231772e-04 1.197576e-03 1.335092e-02 2.489289e-05 -1.433607e-03
0.14           9.037633e-02 5.967522e-03 -3.703497e-04 7.784447e-02 5.941619e-03 1.037232e-03 1.253185e-02 2.590318e-05 -1.407582e-03
0.15           4.643295e-02 1.329731e-03 9.787253e-04 3.451350e-02 1.301713e-03 2.358351e-03 1.191946e-02 2.801756e-05 -1.379626e-03
0.16           1.585252e-02 7.021479e-04 3.920710e-03 4.374331e-03 6.712616e-04 5.271617e-03 1.147819e-02 3.088631e-05 -1.350906e-03
0.17           -1.735907e-02 8.869908e-04 3.061366e-03 -2.851306e-02 8.550377e-04 4.377862e-03 1.115399e-02 3.195311e-05 -1.316496e-03
0.18           -3.303975e-02 1.849826e-03 5.480588e-03 -4.393120e-02 1.819151e-03 6.761403e-03 1.089144e-02 3.067482e-05 -1.280815e-03
0.19           -3.920675e-02 2.289798e-03 2.357123e-03 -4.986479e-02 2.262533e-03 3.603100e-03 1.065804e-02 2.726557e-05 -1.245977e-03
0.2            -3.588761e-02 1.977715e-03 1.171872e-03 -4.632305e-02 1.952810e-03 2.380580e-03 1.043545e-02 2.490467e-05 -1.208708e-03
0.21           -3.221762e-02 1.507505e-03 -1.859585e-03 -4.242881e-02 1.485137e-03 -6.866607e-04 1.021118e-02 2.236758e-05 -1.172924e-03
0.22           -2.493941e-02 1.749228e-03 -1.811391e-03 -3.492227e-02 1.726666e-03 -6.718434e-04 9.982863e-03 2.256250e-05 -1.139548e-03
0.23           -2.186439e-02 2.025425e-04 -7.554360e-04 -3.161468e-02 1.792624e-04 3.511979e-04 9.750289e-03 2.328008e-05 -1.106634e-03
0.24           -1.828777e-02 4.379457e-04 -6.119396e-04 -2.780745e-02 4.128902e-04 4.605442e-04 9.519681e-03 2.505549e-05 -1.072484e-03
0.25           -1.617241e-02 1.992416e-04 -1.829867e-04 -2.546375e-02 1.723071e-04 8.535580e-04 9.291335e-03 2.693451e-05 -1.036545e-03
0.26           -1.511740e-02 5.571622e-04 2.429555e-04 -2.418685e-02 5.289091e-04 1.243999e-03 9.069445e-03 2.825319e-05 -1.001043e-03
0.27           -1.439583e-02 5.935004e-04 8.536018e-04 -2.325133e-02 5.643043e-04 1.822665e-03 8.855491e-03 2.919612e-05 -9.690635e-04
0.28           -1.398297e-02 8.242652e-04 3.008074e-04 -2.263183e-02 7.953105e-04 1.240988e-03 8.648860e-03 2.895475e-05 -9.401806e-04
0.29           -1.384809e-02 5.151237e-04 1.560833e-05 -2.229844e-02 4.863216e-04 9.260622e-04 8.450353e-03 2.880206e-05 -9.104538e-04
0.3            -1.286634e-02 8.478488e-04 -2.547584e-04 -2.112633e-02 8.198303e-04 6.245875e-04 8.259990e-03 2.801851e-05 -8.793459e-04
0.31           -1.219794e-02 3.798622e-04 -7.091001e-05 -2.027319e-02 3.526434e-04 7.755464e-04 8.075249e-03 2.721884e-05 -8.464565e-04
0.32           -1.206478e-02 -1.538063e-04 -6.321595e-04 -1.996055e-02 -1.796391e-04 1.823070e-04 7.895771e-03 2.583277e-05 -8.144666e-04
0.33           -1.146544e-02 6.821695e-05 -1.927815e-03 -1.918767e-02 4.412822e-05 -1.146806e-03 7.722227e-03 2.408872e-05 -7.810086e-04
0.34           -9.897008e-03 7.691139e-04 -2.899284e-03 -1.745095e-02 7.465485e-04 -2.152003e-03 7.553941e-03 2.256540e-05 -7.472809e-04
0.35           -8.149896e-03 5.940638e-04 -2.469490e-03 -1.554131e-02 5.726675e-04 -1.756045e-03 7.391411e-03 2.139635e-05 -7.134450e-04
0.36           -6.547967e-03 5.099994e-04 -1.773471e-03 -1.378260e-02 4.890708e-04 -1.094639e-03 7.234635e-03 2.092866e-05 -6.788318e-04
0.37           -6.805759e-03 5.213058e-04 -2.638778e-03 -1.388811e-02 5.004382e-04 -1.993478e-03 7.082348e-03 2.086758e-05 -6.452995e-04
