# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.01           4.167005e+02 1.057034e-03 -9.370701e-03 4.166631e+02 1.057008e-03 -8.253662e-03 3.735226e-02 2.648640e-08 -1.117039e-03
0.02           -3.985663e+00 -9.200596e-04 -4.226603e-04 -4.010907e+00 -9.188184e-04 5.276474e-04 2.524383e-02 -1.241180e-06 -9.503077e-04
0.03           2.113978e+00 -1.679049e-03 -2.327301e-03 2.094356e+00 -1.677849e-03 -1.588611e-03 1.962163e-02 -1.200539e-06 -7.386896e-04
0.04           4.436727e-01 1.789090e-04 1.732561e-03 4.267224e-01 1.800429e-04 2.267413e-03 1.695036e-02 -1.133929e-06 -5.348514e-04
0.05           2.672266e-01 1.138282e-04 -5.050704e-05 2.520806e-01 1.152883e-04 2.803647e-04 1.514602e-02 -1.460109e-06 -3.308717e-04
0.06           2.014510e-01 1.364190e-04 -2.864332e-04 1.877169e-01 1.381277e-04 -1.552722e-04 1.373417e-02 -1.708661e-06 -1.311609e-04
0.07           1.488306e-01 1.799831e-04 1.014304e-04 1.362872e-01 1.818775e-04 3.851588e-05 1.254337e-02 -1.894483e-06 6.291453e-05
0.08           1.246093e-01 1.393879e-04 -1.381389e-04 1.131151e-01 1.413421e-04 -3.849948e-04 1.149418e-02 -1.954231e-06 2.468559e-04
0.09           1.085724e-01 1.488066e-04 -3.484275e-04 9.802560e-02 1.508206e-04 -7.641796e-04 1.054685e-02 -2.014005e-06 4.157522e-04
0.1            9.529637e-02 1.056799e-04 -5.890078e-04 8.561222e-02 1.077052e-04 -1.156468e-03 9.684151e-03 -2.025268e-06 5.674600e-04
0.11           8.244882e-02 1.294762e-04 -7.333344e-04 7.355207e-02 1.315339e-04 -1.434310e-03 8.896757e-03 -2.057692e-06 7.009751e-04
0.12           7.385735e-02 4.292743e-05 -8.709513e-04 6.568133e-02 4.495652e-05 -1.686748e-03 8.176016e-03 -2.029085e-06 8.157964e-04
0.13           6.880880e-02 8.718770e-05 -7.412474e-04 6.129313e-02 8.918946e-05 -1.653546e-03 7.515676e-03 -2.001764e-06 9.122990e-04
0.14           6.411430e-02 7.469542e-05 -8.556672e-04 5.720346e-02 7.666925e-05 -1.847208e-03 6.910846e-03 -1.973835e-06 9.915409e-04
0.15           5.759355e-02 6.071919e-05 -7.210084e-04 5.123572e-02 6.267952e-05 -1.775917e-03 6.357827e-03 -1.960330e-06 1.054908e-03
0.16           5.470771e-02 7.974415e-05 -5.162913e-04 4.885592e-02 8.170102e-05 -1.620484e-03 5.851796e-03 -1.956874e-06 1.104193e-03
0.17           4.995962e-02 9.358865e-05 -5.297660e-04 4.457005e-02 9.554240e-05 -1.670859e-03 5.389567e-03 -1.953747e-06 1.141093e-03
0.18           4.766351e-02 6.635191e-05 -6.294420e-04 4.269625e-02 6.830480e-05 -1.796864e-03 4.967265e-03 -1.952887e-06 1.167422e-03
0.19           4.546236e-02 7.567617e-05 -7.359720e-04 4.088058e-02 7.761377e-05 -1.920791e-03 4.581779e-03 -1.937592e-06 1.184819e-03
0.2            4.325070e-02 5.712920e-05 -7.897863e-04 3.902046e-02 5.901765e-05 -1.984654e-03 4.230245e-03 -1.888455e-06 1.194868e-03
0.21           4.130619e-02 3.660626e-05 -7.231703e-04 3.739651e-02 3.845081e-05 -1.921835e-03 3.909683e-03 -1.844552e-06 1.198665e-03
