# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.01           -1.325308e-04 -1.632502e-01 -6.541245e-02 -1.474912e-04 -6.782763e-02 -6.548249e-02 1.496046e-05 -9.542260e-02 7.004651e-05
0.02           3.464703e-04 -1.036662e-01 1.355738e-03 3.337778e-04 -1.354074e-02 1.276438e-03 1.269257e-05 -9.012550e-02 7.930020e-05
0.03           -3.092263e-05 -9.217444e-02 5.559528e-04 -4.057755e-05 -5.622100e-03 4.747856e-04 9.654919e-06 -8.655234e-02 8.116713e-05
0.04           -8.888695e-05 -8.833308e-02 -6.194413e-05 -9.816414e-05 -4.575584e-03 -1.335921e-04 9.277190e-06 -8.375750e-02 7.164796e-05
0.05           -6.783767e-06 -8.357054e-02 2.677789e-05 -1.556613e-05 -2.139545e-03 -3.732252e-05 8.782359e-06 -8.143100e-02 6.410041e-05
0.06           3.373965e-05 -8.162304e-02 4.861125e-05 2.527890e-05 -2.191250e-03 -1.437105e-05 8.460752e-06 -7.943179e-02 6.298230e-05
0.07           -1.720853e-05 -7.990845e-02 1.236737e-04 -2.517962e-05 -2.164059e-03 5.836283e-05 7.971085e-06 -7.774439e-02 6.531083e-05
0.08           5.629965e-05 -7.890283e-02 6.848633e-05 4.850342e-05 -2.582603e-03 3.592588e-06 7.796229e-06 -7.632023e-02 6.489374e-05
0.09           4.418032e-05 -7.671720e-02 1.495839e-04 3.690310e-05 -1.619818e-03 8.463691e-05 7.277218e-06 -7.509739e-02 6.494699e-05
0.1            1.000709e-04 -7.545431e-02 1.988212e-05 9.295546e-05 -1.416618e-03 -4.305758e-05 7.115398e-06 -7.403769e-02 6.293971e-05
0.11           5.599071e-05 -7.499942e-02 -6.405123e-06 4.948718e-05 -1.887359e-03 -6.652754e-05 6.503526e-06 -7.311206e-02 6.012241e-05
0.12           9.548162e-05 -7.475385e-02 -1.882250e-04 8.958092e-05 -2.455485e-03 -2.455696e-04 5.900701e-06 -7.229836e-02 5.734465e-05
0.13           -3.477754e-05 -7.375642e-02 -1.881420e-04 -4.055113e-05 -2.175036e-03 -2.430960e-04 5.773592e-06 -7.158138e-02 5.495397e-05
0.14           1.977042e-05 -7.287481e-02 -3.646951e-05 1.415748e-05 -1.925803e-03 -8.838890e-05 5.612936e-06 -7.094900e-02 5.191940e-05
0.15           7.544026e-05 -7.205674e-02 -9.864011e-05 6.999042e-05 -1.666234e-03 -1.483934e-04 5.449841e-06 -7.039051e-02 4.975331e-05
0.16           -2.003531e-05 -7.164419e-02 -2.358266e-05 -2.562174e-05 -1.746890e-03 -7.036735e-05 5.586431e-06 -6.989730e-02 4.678469e-05
0.17           7.407170e-06 -7.132958e-02 -3.049523e-05 1.792633e-06 -1.871124e-03 -7.387630e-05 5.614537e-06 -6.945845e-02 4.338107e-05
0.18           2.229077e-05 -7.100155e-02 -4.352448e-05 1.675890e-05 -1.937478e-03 -8.326314e-05 5.531863e-06 -6.906407e-02 3.973867e-05
0.19           1.311535e-05 -7.060309e-02 -5.460861e-05 7.942824e-06 -1.897548e-03 -9.063367e-05 5.172526e-06 -6.870554e-02 3.602505e-05
0.2            1.979279e-05 -7.023134e-02 -3.075653e-05 1.505311e-05 -1.851746e-03 -6.340191e-05 4.739687e-06 -6.837960e-02 3.264538e-05
0.21           2.201674e-05 -6.991221e-02 -1.749809e-05 1.761082e-05 -1.829901e-03 -4.684432e-05 4.405921e-06 -6.808231e-02 2.934623e-05
0.22           2.874667e-05 -6.965124e-02 -2.303212e-07 2.468297e-05 -1.839683e-03 -2.677868e-05 4.063697e-06 -6.781156e-02 2.654836e-05
0.23           2.651189e-05 -6.942362e-02 -7.138708e-07 2.266627e-05 -1.859160e-03 -2.473933e-05 3.845617e-06 -6.756446e-02 2.402546e-05
0.24           1.278563e-05 -6.922400e-02 -3.591075e-06 9.142419e-06 -1.883773e-03 -2.530014e-05 3.643215e-06 -6.734023e-02 2.170907e-05
