# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.01           1.201354e-07 -1.064545e-01 -1.382539e-07 3.860283e-08 -3.005292e-05 2.329018e-07 8.153253e-08 -1.064244e-01 -3.711557e-07
0.02           -5.611137e-09 -1.027654e-01 5.401219e-07 5.380569e-09 -2.994873e-05 1.120868e-07 -1.099171e-08 -1.027354e-01 4.280350e-07
0.03           2.238715e-09 -9.969388e-02 1.202099e-06 9.727385e-09 -1.119953e-05 4.261544e-07 -7.488670e-09 -9.968268e-02 7.759451e-07
0.04           5.403113e-08 -9.692812e-02 8.107536e-07 -2.132105e-08 -8.903795e-06 9.777767e-08 7.535218e-08 -9.691922e-02 7.129760e-07
0.05           1.189704e-07 -9.437731e-02 1.167498e-06 -3.095672e-08 -1.652020e-05 1.050151e-07 1.499271e-07 -9.436079e-02 1.062483e-06
0.06           2.177193e-07 -9.199302e-02 1.345910e-06 -1.792625e-08 -1.813663e-05 1.065180e-07 2.356455e-07 -9.197488e-02 1.239392e-06
0.07           3.360131e-07 -8.976591e-02 1.443308e-06 -1.352867e-08 -1.892581e-05 4.963595e-08 3.495418e-07 -8.974698e-02 1.393672e-06
0.08           4.434649e-07 -8.769336e-02 1.523331e-06 -1.339689e-08 -2.007490e-05 3.733245e-08 4.568618e-07 -8.767328e-02 1.485998e-06
0.09           5.341199e-07 -8.577150e-02 1.541974e-06 -1.085699e-08 -2.135614e-05 7.364375e-09 5.449769e-07 -8.575015e-02 1.534609e-06
0.1            5.733471e-07 -8.399562e-02 1.549244e-06 -1.556306e-08 -2.261062e-05 3.936525e-09 5.889102e-07 -8.397301e-02 1.545308e-06
0.11           5.665659e-07 -8.235972e-02 1.528151e-06 -2.435483e-08 -2.369864e-05 7.220838e-09 5.909208e-07 -8.233602e-02 1.520930e-06
0.12           5.701478e-07 -8.085653e-02 1.478683e-06 -1.943673e-08 -2.462505e-05 9.672938e-09 5.895845e-07 -8.083190e-02 1.469010e-06
0.13           5.545150e-07 -7.947749e-02 1.406379e-06 -2.074289e-08 -2.537609e-05 3.649186e-09 5.752579e-07 -7.945211e-02 1.402730e-06
0.14           5.397326e-07 -7.821344e-02 1.331641e-06 -1.858784e-08 -2.603472e-05 7.066038e-09 5.583204e-07 -7.818741e-02 1.324575e-06
0.15           5.151048e-07 -7.705463e-02 1.224001e-06 -1.560349e-08 -2.658228e-05 -2.952702e-09 5.307083e-07 -7.702805e-02 1.226954e-06
0.16           4.876856e-07 -7.599102e-02 1.125078e-06 -2.027750e-08 -2.696571e-05 -3.585838e-09 5.079631e-07 -7.596406e-02 1.128663e-06
0.17           4.672806e-07 -7.501324e-02 1.031439e-06 -1.488842e-08 -2.722132e-05 -7.669036e-10 4.821690e-07 -7.498602e-02 1.032206e-06
0.18           4.362368e-07 -7.411237e-02 9.376730e-07 -1.943267e-08 -2.732702e-05 -1.554752e-09 4.556695e-07 -7.408505e-02 9.392278e-07
0.19           4.154681e-07 -7.328013e-02 8.670774e-07 -1.638146e-08 -2.733618e-05 -3.932554e-09 4.318496e-07 -7.325279e-02 8.710099e-07
0.2            4.050619e-07 -7.250892e-02 8.204885e-07 -1.338064e-08 -2.729457e-05 2.659702e-09 4.184425e-07 -7.248162e-02 8.178288e-07
0.21           4.006500e-07 -7.179177e-02 7.817104e-07 -1.443080e-08 -2.715769e-05 5.725792e-09 4.150808e-07 -7.176461e-02 7.759846e-07
0.22           3.884981e-07 -7.112265e-02 7.332616e-07 -1.320391e-08 -2.701581e-05 7.747457e-09 4.017020e-07 -7.109563e-02 7.255141e-07
0.23           3.752238e-07 -7.049578e-02 6.559816e-07 -1.316639e-08 -2.681228e-05 1.607624e-09 3.883902e-07 -7.046896e-02 6.543739e-07
0.24           3.835702e-07 -6.990634e-02 5.883497e-07 -6.633384e-09 -2.659717e-05 3.668847e-09 3.902036e-07 -6.987975e-02 5.846808e-07
